Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,SUM
1214,1821214,Portalegre,89.369,29.222,2.47,15.809,136.87
701,1830701,Alandroal,121.752,90.767,0,21.635,234.154
702,1830702,Arraiolos,94.704,48.382,0,27.483,170.569
703,1830703,Borba,12.366,16.347,0,2.981,31.694
704,1830704,Estremoz,77.55,90.872,0,16.595,185.017
705,1830705,Évora,131.424,106.944,0,14.386,252.754
706,1830706,Montemor-o-Novo,251.898,85.335,0.021,64.022,401.276
708,1830708,Mourão,36.707,6.597,0,4.86,48.164
709,1830709,Portel,107.675,42.554,13.427,41.782,205.438
710,1830710,Redondo,51.985,45.933,0,16.006,113.924
711,1830711,Reguengos de Monsaraz,42.514,54.759,0,6.704,103.977
1215,1831215,Sousel,17.955,33.224,0.021,4.706,55.906
712,1830712,Vendas Novas,17.117,1.187,0,14.037,32.341
713,1830713,Viana do Alentejo,34.773,18.168,0,8.202,61.143
714,1830714,Vila Viçosa,65.299,34.807,0.002,4.463,104.571
201,1840201,Aljustrel,30.172,102.203,0,6.102,138.477
202,1840202,Almodôvar,78.743,60.061,0,18.445,157.249
203,1840203,Alvito,21.401,8.291,0.001,4.012,33.705
204,1840204,Barrancos,79.863,2.43,0,12.529,94.822
205,1840205,Beja,72.725,288.208,0.005,9.13,370.068
206,1840206,Castro Verde,41.37,54.107,0.746,5.399,101.622
207,1840207,Cuba,13.138,16.912,0,5.121,35.171
208,1840208,Ferreira do Alentejo,17.366,62.222,0,4.097,83.685
209,1840209,Mértola,176.568,139.607,0,35.341,351.516
210,1840210,Moura,157.885,227.49,0,22.888,408.263
212,1840212,Ourique,94.832,69.645,0,28.344,192.821
213,1840213,Serpa,162.73,347.678,0,25.529,535.937
214,1840214,Vidigueira,31.394,96.022,0.011,3.456,130.883
1403,1851403,Almeirim,0.599,28.898,0.175,0.452,30.124
1404,1851404,Alpiarça,0.843,18.037,0.081,0.15,19.111
1103,1851103,Azambuja,11.958,49.186,0.551,10.379,72.074
1405,1851405,Benavente,6.998,9.825,0.172,5.165,22.16
1406,1851406,Cartaxo,2.533,8.844,0.082,9.337,20.796
1407,1851407,Chamusca,31.621,113.026,1.664,11.901,158.212
1409,1851409,Coruche,40.331,90.504,1.675,14.002,146.512
1412,1851412,Golegã,0.011,1.545,0.004,0.006,1.566
1414,1851414,Rio Maior,29.716,14.3,1.037,109.274,154.327
1415,1851415,Salvaterra de Magos,1.415,10.69,0.058,0.964,13.127
1416,1851416,Santarém,62.274,228.992,4.635,125.673,421.574
801,1500801,Albufeira,3.281,34.757,6.392,0.743,45.173
802,1500802,Alcoutim,22.829,111.325,0,5.332,139.486
803,1500803,Aljezur,10.918,9.947,0.177,1.77,22.812
804,1500804,Castro Marim,21.66,119.724,0,5.298,146.682
805,1500805,Faro,2.618,74.84,0,0.917,78.375
806,1500806,Lagoa,1.719,3.445,0.532,1.941,7.637
807,1500807,Lagos,11.771,26.835,3.84,4.358,46.804
808,1500808,Loulé,16.196,227.371,11.748,5.141,260.456
809,1500809,Monchique,12.915,15.738,0,29.809,58.462
810,1500810,Olhão,0.587,25.815,0.421,0.245,27.068
811,1500811,Portimão,7.131,20.033,0,4.384,31.548
812,1500812,São Brás de Alportel,0.752,25.746,0,0.717,27.215
813,1500813,Silves,18.809,190.158,1.144,8.244,218.355
814,1500814,Tavira,8.844,272.676,4.974,5.919,292.413
815,1500815,Vila do Bispo,10.382,8.071,0.06,1.474,19.987
816,1500816,Vila Real de Santo António,1.294,12.592,0,0.745,14.631
