Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses,total
1203,1821203,Avis,21290,268643,226611,772,2,420,1927,498375
1204,1821204,Campo Maior,0,172468,35317,297,1,135,2693,210911
1205,1821205,Castelo de Vide,3197,256785,48900,715,1,40,4365,310806
1206,1821206,Crato,1769,446423,113935,5743,3,181,3529,569814
1207,1821207,Elvas,17473,861887,161936,4288,8,1649,8369,1038137
1208,1821208,Fronteira,12662,122648,150767,1471,8,1252,1804,277950
1209,1821209,Gavião,1397,16566,26359,11079,18,149,1918,56089
1210,1821210,Marvão,9590,101387,47255,2498,3,137,1470,152750
1211,1821211,Monforte,14773,673872,151438,203,1,287,3238,829039
707,1820707,Mora,9621,314144,207887,767,10,2396,3027,528231
1212,1821212,Nisa,5493,193111,146254,16900,5,373,5007,361650
1213,1821213,Ponte de Sor,4469,173083,316093,6504,30,3387,6002,505099
1214,1821214,Portalegre,40656,399300,120950,32365,18,579,4743,557955
701,1830701,Alandroal,52946,377516,172055,34379,10,1345,4655,589960
702,1830702,Arraiolos,18000,795559,210526,1424,217,8247,6107,1022080
703,1830703,Borba,7697,47551,98906,2957,5,2654,1047,153120
704,1830704,Estremoz,29576,313899,297717,13035,9,4632,3872,633164
705,1830705,Évora,40873,1363227,358214,1935,15,2169,10542,1736102
706,1830706,Montemor-o-Novo,67998,1484879,450018,2123,1306,23750,7374,1969450
708,1830708,Mourão,0,397746,47789,11136,1,504,1892,459068
709,1830709,Portel,12197,304550,147136,20468,7,1159,1734,475054
710,1830710,Redondo,48104,212803,193870,5576,8,1313,2543,416113
711,1830711,Reguengos de Monsaraz,2855,299325,146354,10317,2,2546,3309,461853
1215,1831215,Sousel,21135,107565,199929,63,2,1913,1610,311082
712,1830712,Vendas Novas,0,174377,66699,57,111,2024,2526,245794
713,1830713,Viana do Alentejo,27311,549755,155902,3229,5,3646,5799,718336
714,1830714,Vila Viçosa,9652,224985,59727,4105,1,226,1848,290892
201,1840201,Aljustrel,12197,282152,166716,313,1,246,1179,450607
202,1840202,Almodôvar,497,170193,257185,12091,20,2170,3159,444818
203,1840203,Alvito,0,187531,80139,78,3,82,968,268801
204,1840204,Barrancos,0,192777,27489,735,1,914,1998,223914
205,1840205,Beja,8007,366330,302777,12659,18,2458,6926,691168
206,1840206,Castro Verde,0,400831,236134,1904,7,711,1267,640854
207,1840207,Cuba,0,388085,50639,2566,117,3382,1522,446311
208,1840208,Ferreira do Alentejo,41897,246632,206689,861,578,1730,3115,459605
209,1840209,Mértola,1179,190751,542343,3875,11,1278,3696,741954
210,1840210,Moura,434,637912,171539,18991,21,2306,7128,837897
212,1840212,Ourique,155,377707,262803,5618,12,2990,5650,654780
213,1840213,Serpa,1459,409325,532206,10849,27,2633,11282,966322
214,1840214,Vidigueira,12942,124881,116071,15126,3,123,1232,257436
1403,1851403,Almeirim,3166,24643,18040,172,87,563,1962,45467
1404,1851404,Alpiarça,0,37394,16308,16,13,1273,370,55374
1103,1851103,Azambuja,21073,60083,13956,4413,1958,12583,9627,102620
1405,1851405,Benavente,25294,472055,34790,198,24,4431,13675,525173
1406,1851406,Cartaxo,33952,67363,11969,141,703,9733,5086,94995
1407,1851407,Chamusca,35970,158278,36528,1221,14,1651,3626,201318
1409,1851409,Coruche,84478,562548,117648,5226,874,6063,11176,703535
1412,1851412,Golegã,0,9477,2545,26,1,45,1443,13537
1414,1851414,Rio Maior,8504,45530,32455,13958,13644,32302,2033,139922
1415,1851415,Salvaterra de Magos,17193,91558,12012,501,29,4108,5949,114157
1416,1851416,Santarém,86991,164571,121013,16091,6223,31234,13262,352394
801,1500801,Albufeira,0,9460,14018,615,18,82,792,24985
802,1500802,Alcoutim,260,5355,75154,6984,14,323,4893,92723
803,1500803,Aljezur,0,127969,5649,360,16,733,2983,137710
804,1500804,Castro Marim,3980,15766,23522,17625,16,271,4338,61538
