Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion
502,1690502,Castelo Branco,1350000,360000,6559138,1568555,3489790,1637068,423700
505,1690505,Idanha-a-Nova,900000,560000,8617096,1984762,26745192,612840,60417
507,1690507,Penamacor,442500,225000,4429326,1210827,1831802,175311,0
511,1690511,Vila Velha de R�d�o,67500,105000,2315205,17337,910185,153001,0
501,16A0501,Belmonte,450000,430000,3395858,3452833,478912,3073126,281991
503,16A0503,Covilh�,2917500,2430000,4363580,2997177,1262120,7410026,285963
504,16A0504,Fund�o,3645000,3220000,12018719,4404626,5805178,9062739,3516277
1001,16B1001,Alcoba�a,277500,510000,2760978,113380,342080,14504616,38768
1101,16B1101,Alenquer,217500,95000,272696,529635,601530,1804719,21923
1102,16B1102,Arruda dos Vinhos,7500,0,36404,0,0,20993,129790
1005,16B1005,Bombarral,0,60000,2152091,581445,0,7166594,30820
1104,16B1104,Cadaval,0,95000,64789,19710,0,11598962,0
1006,16B1006,Caldas da Rainha,210000,135000,739444,9163,131504,11276949,23115
1108,16B1108,Lourinh�,60000,55000,3772935,42598,0,2946624,3706922
1011,16B1011,Nazar�,0,50000,2646439,318648,265112,875087,0
1012,16B1012,�bidos,142500,135000,3079114,49275,0,5655120,165931
1014,16B1014,Peniche,0,15000,2980190,52748,0,894850,5397189
1112,16B1112,Sobral de Monte Agra�o,22500,10000,148250,0,145340,73344,359290
1113,16B1113,Torres Vedras,300000,210000,1557663,496575,125005,11681496,387537
1401,16C1401,Abrantes,1125000,690000,5971944,89769,6581190,1474715,11676
1402,16C1402,Alcanena,0,40000,90880,90026,179095,268700,0
1408,16C1408,Const�ncia,187500,50000,254288,6705,1350685,13594,0
1410,16C1410,Entroncamento,150000,35000,342730,8645,0,281031,0
1411,16C1411,Ferreira do Z�zere,67500,60000,415460,28788,0,657282,23816
1421,16C1421,Our�m,2317500,45000,805625,85129,0,105195,0
1417,16C1417,Sardoal,7500,90000,132335,13840,0,148554,0
1418,16C1418,Tomar,1207500,320000,3484059,265686,2236466,683015,46931
1419,16C1419,Torres Novas,1612500,335000,3766984,511366,1492597,1534068,137221
1420,16C1420,Vila Nova da Barquinha,112500,70000,183537,79167,48356,257272,0
1115,1711115,Amadora,0,0,0,0,0,0,0
1105,1711105,Cascais,45000,5000,53272,122980,0,138564,0
1106,1711106,Lisboa,0,0,0,0,232800,9288,0
1107,1711107,Loures,1177500,135000,4960613,301215,0,1432088,689670
1109,1711109,Mafra,375000,150000,2407548,13752,0,7235560,1385163
1116,1711116,Odivelas,15000,0,44549,0,0,28904,0
1110,1711110,Oeiras,0,0,11180,0,0,0,0
1111,1711111,Sintra,180000,380000,4123957,489914,508450,739606,215959
1114,1711114,Vila Franca de Xira,1020000,39060000,195454,1625434,18998666,11907477,16384
1502,1721502,Alcochete,7500,1895000,2000112,128651,3187172,153436,0
1503,1721503,Almada,30000,25000,2055705,2414,0,48186,17460
1504,1721504,Barreiro,7500,10000,226727,0,0,30850,0
1506,1721506,Moita,75000,100000,1218829,2167384,87228,48557,6156
1507,1721507,Montijo,285000,3995000,3672288,4680125,7256002,3960470,258667
1508,1721508,Palmela,105000,8515000,5316010,6126542,13974209,10542303,1193439
1510,1721510,Seixal,0,35000,232345,0,0,80906,6156
1511,1721511,Sesimbra,120000,145000,432065,37726,91801,280089,0
1512,1721512,Set�bal,22500,660000,1019215,155384,112867,2205146,37855
1501,1811501,Alc�cer do Sal,0,95405000,458306,373350,4157374,1281346,375516
1505,1811505,Gr�ndola,607500,10810000,781944,738252,1546781,1084391,139584
211,1810211,Odemira,3075000,10485000,2596369,17123268,25273742,7862357,163228
1509,1811509,Santiago do Cac�m,900000,11885000,2009694,68814,10953485,14264387,929209
1513,1811513,Sines,75000,60000,158984,375856,360354,297024,0
1201,1821201,Alter do Ch�o,22500,5000,197159,302570,510110,2970512,0
1202,1821202,Arronches,322500,50000,28258,632033,172873,358656,0
1203,1821203,Avis,37500,15000,420536,1833520,12589576,14529632,0
1204,1821204,Campo Maior,0,105000,155474,640460,7028863,11065160,0
1205,1821205,Castelo de Vide,0,0,156592,0,0,526062,0
1206,1821206,Crato,15000,0,507864,163440,647293,213564,0
1207,1821207,Elvas,1725000,1425000,2749111,1110163,7557003,14989788,26190
1208,1821208,Fronteira,0,25000,13594,88778,8342189,3637162,0
1209,1821209,Gavi�o,420000,130000,1070510,10896,1565250,231184,0
1210,1821210,Marv�o,7500,20000,410613,0,0,320044,3480
1211,1821211,Monforte,0,5000,26867,6876,3761441,3405198,0
707,1820707,Mora,547500,70000,390294,749200,10024177,1268564,0
1212,1821212,Nisa,0,95000,1064412,0,57762,146044,0
1213,1821213,Ponte de Sor,2085000,2590000,2352357,157324,10555402,1681424,0
1214,1821214,Portalegre,202500,100000,622963,15724,874473,1522324,3480
701,1830701,Alandroal,0,1535000,332062,109450,5815647,5058834,0
702,1830702,Arraiolos,622500,1205000,83537,404450,7840589,3408570,633744
703,1830703,Borba,15000,90000,20010,194680,650816,3529718,0
704,1830704,Estremoz,202500,170000,416261,565841,4682961,6671542,277548
705,1830705,�vora,1650000,3960000,2882806,1966378,12490957,9249914,3827
706,1830706,Montemor-o-Novo,37500,11325000,1341081,2973323,21087259,3784838,21880
708,1830708,Mour�o,0,5000,53550,49740,331410,2140988,0
709,1830709,Portel,7500,65000,298942,642182,2830864,2611548,0
710,1830710,Redondo,82500,40000,374618,190060,4256054,9204446,6156
711,1830711,Reguengos de Monsaraz,30000,210000,137784,445406,573066,9424862,22752
1215,1831215,Sousel,7500,10000,141924,390730,3556352,9236282,0
712,1830712,Vendas Novas,180000,3475000,322579,196412,1850347,1585375,135836
713,1830713,Viana do Alentejo,7500,1895000,338588,2106586,9153322,1890884,10800
714,1830714,Vila Vi�osa,0,35000,43990,24140,134778,1917520,0
201,1840201,Aljustrel,180000,5000,13752,1416205,6782658,13109575,0
202,1840202,Almod�var,45000,25000,21792,0,202167,958459,0
