CAA_ID,Muni_ID,Full_ID,Muni,uaa09,poly_sum,poly_corr,lf09
218,105,1610105,AVEIRO,2424,4880,24,12.18
219,105,1610105,AVEIRO,2424,4880,29,13.59
220,105,1610105,AVEIRO,2424,4880,103,8.07
221,105,1610105,AVEIRO,2424,4880,31,9.44
222,105,1610105,AVEIRO,2424,4880,16,15.51
223,105,1610105,AVEIRO,2424,4880,19,15.73
224,105,1610105,AVEIRO,2424,4880,16,19.23
225,105,1610105,AVEIRO,2424,4880,39,15.48
226,105,1610105,AVEIRO,2424,4880,35,16.16
227,105,1610105,AVEIRO,2424,4880,32,6.51
228,105,1610105,AVEIRO,2424,4880,213,16.07
229,105,1610105,AVEIRO,2424,4880,198,16.54
230,105,1610105,AVEIRO,2424,4880,22,8.88
231,105,1610105,AVEIRO,2424,4880,2,0
232,105,1610105,AVEIRO,2424,4880,34,18.06
233,105,1610105,AVEIRO,2424,4880,239,18.99
234,105,1610105,AVEIRO,2424,4880,1,12.5
235,105,1610105,AVEIRO,2424,4880,47,10.23
236,105,1610105,AVEIRO,2424,4880,26,18.19
237,105,1610105,AVEIRO,2424,4880,42,11.61
238,106,1150106,CASTELO DE PAIVA,1346,1951,135,12.5
239,106,1150106,CASTELO DE PAIVA,1346,1951,13,12.5
240,106,1150106,CASTELO DE PAIVA,1346,1951,115,12.5
241,106,1150106,CASTELO DE PAIVA,1346,1951,82,13.72
242,106,1150106,CASTELO DE PAIVA,1346,1951,0,12.5
243,106,1150106,CASTELO DE PAIVA,1346,1951,23,12.5
244,106,1150106,CASTELO DE PAIVA,1346,1951,16,12.5
245,106,1150106,CASTELO DE PAIVA,1346,1951,59,12.5
246,106,1150106,CASTELO DE PAIVA,1346,1951,73,12.73
247,106,1150106,CASTELO DE PAIVA,1346,1951,46,10.61
248,106,1150106,CASTELO DE PAIVA,1346,1951,126,18.67
249,106,1150106,CASTELO DE PAIVA,1346,1951,46,12.5
250,106,1150106,CASTELO DE PAIVA,1346,1951,131,12.99
251,106,1150106,CASTELO DE PAIVA,1346,1951,39,12.78
252,106,1150106,CASTELO DE PAIVA,1346,1951,86,13.5
253,106,1150106,CASTELO DE PAIVA,1346,1951,55,14.06
254,106,1150106,CASTELO DE PAIVA,1346,1951,51,12.89
255,106,1150106,CASTELO DE PAIVA,1346,1951,41,18.75
256,106,1150106,CASTELO DE PAIVA,1346,1951,112,12.87
257,106,1150106,CASTELO DE PAIVA,1346,1951,18,18.75
258,106,1150106,CASTELO DE PAIVA,1346,1951,26,18.75
259,106,1150106,CASTELO DE PAIVA,1346,1951,30,18.75
260,106,1150106,CASTELO DE PAIVA,1346,1951,23,18.75
261,107,1140107,ESPINHO,70,273,1,18.75
262,107,1140107,ESPINHO,70,273,12,18.75
263,107,1140107,ESPINHO,70,273,3,17.5
264,107,1140107,ESPINHO,70,273,12,18.75
265,107,1140107,ESPINHO,70,273,16,12.38
266,107,1140107,ESPINHO,70,273,27,12.5
267,108,1610108,ESTARREJA,3173,6352,34,11.25
268,108,1610108,ESTARREJA,3173,6352,8,15.1
269,108,1610108,ESTARREJA,3173,6352,0,14.48
270,108,1610108,ESTARREJA,3173,6352,0,12.5
271,108,1610108,ESTARREJA,3173,6352,121,15.16
272,108,1610108,ESTARREJA,3173,6352,404,12.54
273,108,1610108,ESTARREJA,3173,6352,1,18.75
274,108,1610108,ESTARREJA,3173,6352,90,12.5
275,108,1610108,ESTARREJA,3173,6352,70,13.33
276,108,1610108,ESTARREJA,3173,6352,61,12.26
277,108,1610108,ESTARREJA,3173,6352,37,11.46
278,108,1610108,ESTARREJA,3173,6352,35,11.25
279,108,1610108,ESTARREJA,3173,6352,1,6.25
280,108,1610108,ESTARREJA,3173,6352,77,12.86
281,108,1610108,ESTARREJA,3173,6352,92,11.56
282,108,1610108,ESTARREJA,3173,6352,2137,12.44
283,108,1610108,ESTARREJA,3173,6352,2,12.5
284,109,1160109,SANTA MARIA DA FEIRA,1240,4557,11,14.2
285,109,1160109,SANTA MARIA DA FEIRA,1240,4557,0,12.5
286,109,1160109,SANTA MARIA DA FEIRA,1240,4557,18,13.08
287,109,1160109,SANTA MARIA DA FEIRA,1240,4557,4,18.75
288,109,1160109,SANTA MARIA DA FEIRA,1240,4557,8,18.75
289,109,1160109,SANTA MARIA DA FEIRA,1240,4557,20,18.75
290,109,1160109,SANTA MARIA DA FEIRA,1240,4557,13,14.9
291,109,1160109,SANTA MARIA DA FEIRA,1240,4557,3,18.75
292,109,1160109,SANTA MARIA DA FEIRA,1240,4557,0,18.75
293,109,1160109,SANTA MARIA DA FEIRA,1240,4557,2,12.5
294,109,1160109,SANTA MARIA DA FEIRA,1240,4557,4,12.5
295,109,1160109,SANTA MARIA DA FEIRA,1240,4557,16,18.75
296,109,1160109,SANTA MARIA DA FEIRA,1240,4557,13,18.75
297,109,1160109,SANTA MARIA DA FEIRA,1240,4557,101,10.86
298,109,1160109,SANTA MARIA DA FEIRA,1240,4557,167,18.46
299,109,1160109,SANTA MARIA DA FEIRA,1240,4557,14,18.75
300,109,1160109,SANTA MARIA DA FEIRA,1240,4557,16,17.45
301,109,1160109,SANTA MARIA DA FEIRA,1240,4557,23,18.75
302,109,1160109,SANTA MARIA DA FEIRA,1240,4557,26,18.5
303,109,1160109,SANTA MARIA DA FEIRA,1240,4557,30,17.73
304,109,1160109,SANTA MARIA DA FEIRA,1240,4557,10,12.72
305,109,1160109,SANTA MARIA DA FEIRA,1240,4557,15,16.02
306,109,1160109,SANTA MARIA DA FEIRA,1240,4557,11,18.75
307,109,1160109,SANTA MARIA DA FEIRA,1240,4557,54,15.04
308,109,1160109,SANTA MARIA DA FEIRA,1240,4557,10,18.75
309,109,1160109,SANTA MARIA DA FEIRA,1240,4557,10,18.75
310,109,1160109,SANTA MARIA DA FEIRA,1240,4557,46,18.75
311,109,1160109,SANTA MARIA DA FEIRA,1240,4557,26,14.29
312,109,1160109,SANTA MARIA DA FEIRA,1240,4557,14,16.19
313,109,1160109,SANTA MARIA DA FEIRA,1240,4557,9,18.75
