Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion,SUM
804,1500804,Castro Marim,5.958,64.214,434.272,148.95,0,0,8.606,662
805,1500805,Faro,6.162,45.188,1906.112,6.162,0,0,88.322,2054
806,1500806,Lagoa,0,197.691,249.639,0.962,0,0,32.708,481
807,1500807,Lagos,83.248,114.466,600.71,144.738,0,0,2.838,946
808,1500808,Loul�,43.775,92.7,1982.75,0,12.875,0,440.325,2575
809,1500809,Monchique,53.68,302.621,295.24,0,0,0,19.459,671
810,1500810,Olh�o,13.912,59.126,1641.616,0,0,0,26.085,1739
811,1500811,Portim�o,6.75,120.75,468,6.75,51,0,96.75,750
812,1500812,S�o Br�s de Alportel,0,42.585,203.745,0,0,0,8.925,255
813,1500813,Silves,31.3,250.4,5490.02,0,0,0,488.28,6260
814,1500814,Tavira,2.769,66.456,2663.778,0,0,0,35.997,2769
815,1500815,Vila do Bispo,27,25.2,37.8,0,0,0,0,90
816,1500816,Vila Real de Santo Ant�nio,0,33.605,483.395,0,0,0,0,517
