"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
205,"1840205","Beja",116.7618,755520,17575,41625,16040,42280,825,32340,23270
206,"1840206","Castro Verde",700.5708,508320,24100,22200,4400,25440,4015,28985,11700
207,"1840207","Cuba",0,172160,9475,10900,12120,11360,2695,17600,5200
208,"1840208","Ferreira do Alentejo",75194.5992,405840,7800,32075,7280,37720,0,14520,7605
209,"1840209","Mértola",0,349680,1000,26800,11920,25200,0,27005,8970
210,"1840210","Moura",8523.6114,926720,78475,18425,16880,65560,3025,29700,29835
212,"1840212","Ourique",3969.9012,410560,5425,18900,2360,21520,0,8360,10530
213,"1840213","Serpa",5020.7574,672960,49350,28250,14040,54400,16335,22055,31135
214,"1840214","Vidigueira",1401.1416,170080,0,10625,2360,10160,0,2695,4810
1403,"1851403","Almeirim",700.5708,3760,725,825,120,1280,0,13475,650
1404,"1851404","Alpiarça",3152.5686,20320,425,250,120,0,0,1980,260
1103,"1851103","Azambuja",66904.5114,57840,3025,6025,5280,14920,550,22770,13455
1405,"1851405","Benavente",308017.6284,422720,32300,44025,35320,79920,10065,136290,37830
1406,"1851406","Cartaxo",1284.3798,25600,1600,2525,25760,33320,110,1320,1625
1407,"1851407","Chamusca",139296.8274,153520,9950,20750,7960,26640,17270,20625,13780
1409,"1851409","Coruche",220446.2784,451680,7075,45000,24680,75640,3905,60445,48555
1412,"1851412","Golegã",4553.7102,3360,525,75,40,400,0,880,195
1414,"1851414","Rio Maior",38064.3468,13680,8775,3575,27120,11440,0,9680,1105
1415,"1851415","Salvaterra de Magos",51842.2392,24960,3325,5800,8200,15920,4675,42515,12740
1416,"1851416","Santarém",258744.1488,44640,39875,17200,22880,38160,4565,18975,6760
801,"1500801","Albufeira",0,320,100,325,0,200,0,440,65
802,"1500802","Alcoutim",194.9595,1760,325,0,400,640,110,715,130
803,"1500803","Aljezur",0,87200,1575,6125,600,7600,385,5335,4030
804,"1500804","Castro Marim",0,1680,2500,975,320,10640,4455,11770,1365
805,"1500805","Faro",584.8785,0,800,550,1360,2800,330,3850,130
806,"1500806","Lagoa",0,6320,225,500,760,800,0,385,325
807,"1500807","Lagos",1429.703,20160,3525,2025,1120,2760,440,7975,1300
808,"1500808","Loulé",714.8515,4640,975,275,1560,800,110,715,195
809,"1500809","Monchique",194.9595,7040,250,1725,3840,2280,275,6380,325
810,"1500810","Olhão",0,1200,425,100,0,360,0,0,195
811,"1500811","Portimão",1754.6355,18080,675,2225,2280,4800,0,12705,975
812,"1500812","São Brás de Alportel",0,80,25,0,0,40,0,0,0
813,"1500813","Silves",2599.46,25280,6025,1575,6400,4720,1815,2255,1430
814,"1500814","Tavira",129.973,960,3125,175,760,280,55,495,195
815,"1500815","Vila do Bispo",324.9325,32720,1675,3425,440,2800,715,5115,1235
816,"1500816","Vila Real de Santo António",259.946,0,25,0,40,40,0,0,0
