"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip"
"154",909,"1680909","Meda",17,0,64,8,0,0
"155",910,"1680910","Pinhel",22,0,201,15,0,0
"156",911,"1680911","Sabugal",88,0,63,27,0,0
"157",913,"1680913","Trancoso",86,0,678,0,0,0
"158",502,"1690502","Castelo Branco",356,0,1253,300,109,0
"159",505,"1690505","Idanha-a-Nova",109,0,452,95,1049,0
"160",507,"1690507","Penamacor",18,0,133,52,0,0
"161",511,"1690511","Vila Velha de Ródão",11,0,261,2,32,0
"162",501,"16A0501","Belmonte",6,0,93,92,60,0
"163",503,"16A0503","Covilhã",251,0,181,237,181,0
"164",504,"16A0504","Fundão",412,0,793,419,100,0
"165",1001,"16B1001","Alcobaça",1,0,27,3,44,0
"166",1101,"16B1101","Alenquer",4,0,0,0,0,0
"167",1102,"16B1102","Arruda dos Vinhos",0,0,0,0,0,0
"168",1005,"16B1005","Bombarral",0,0,0,0,0,0
"169",1104,"16B1104","Cadaval",0,0,0,0,0,0
"170",1006,"16B1006","Caldas da Rainha",0,0,0,0,0,0
"171",1108,"16B1108","Lourinhã",0,0,0,0,0,0
"172",1011,"16B1011","Nazaré",0,0,4,38,37,0
"173",1012,"16B1012","Óbidos",1,0,1,0,0,0
"174",1014,"16B1014","Peniche",0,0,1,0,0,0
"175",1112,"16B1112","Sobral de Monte Agraço",5,0,2,0,0,0
"176",1113,"16B1113","Torres Vedras",20,0,2,6,0,0
"177",1401,"16C1401","Abrantes",18,0,9,0,0,0
"178",1402,"16C1402","Alcanena",0,0,0,4,0,0
"179",1408,"16C1408","Constância",0,0,0,0,0,0
"180",1410,"16C1410","Entroncamento",0,0,0,0,0,0
"181",1411,"16C1411","Ferreira do Zêzere",4,0,0,0,0,0
"182",1421,"16C1421","Ourém",139,0,74,0,0,0
"183",1417,"16C1417","Sardoal",0,0,10,0,0,0
"184",1418,"16C1418","Tomar",0,0,13,1,49,0
"185",1419,"16C1419","Torres Novas",0,0,3,0,0,0
"186",1420,"16C1420","Vila Nova da Barquinha",1,0,3,0,0,0
"187",1115,"1711115","Amadora",0,0,0,0,0,0
"188",1105,"1711105","Cascais",0,0,0,0,0,0
"189",1106,"1711106","Lisboa",0,0,0,0,0,0
"190",1107,"1711107","Loures",1,0,0,0,0,0
