Longitude,Latitude,WaterbaseID,NationalStationID,Year,Minimum,Mean,Maximum,Median
-9.17761,39.4018,PT_RV_17B/03,17B/03,2008,0.02486,0.152832,1.017,0.3164
-7.54138,39.6651,PT_RV_16L/01,16L/01,2008,0.678,0.9944,1.4012,0.9718
-7.83583,39.5214,PT_RV_16J/01,16J/01,2008,0.565,0.887564,1.2882,0.8814
-8.94454,39.5357,PT_RV_16D/03,16D/03,2008,0.7458,2.69317,5.424,2.599
-6.98288,39.8162,PT_RV_15P/01,15P/01,2008,0.226,0.226,0.226,0.226
-7.75879,39.7352,PT_RV_15K/01,15K/01,2008,0.226,0.468436,1.4012,0.226
-8.76993,39.6835,PT_RV_15E/06,15E/06,2008,2.712,3.22564,4.068,3.164
-7.33393,39.8578,PT_RV_14N/02,14N/02,2008,0.226,0.314345,0.6554,0.226
-8.27413,40.2703,PT_RV_12H/02,12H/02,2008,0.226,0.702654,0.9944,0.7458
-8.64117,40.1789,PT_RV_12F/04,12F/04,2008,0.4972,1.15466,1.6498,1.1752
-7.81475,40.3415,PT_RV_11K/03,11K/03,2008,0.226,0.347218,0.7232,0.226
-8.03317,40.4675,PT_RV_11I/01,11I/01,2008,0.226,0.698546,1.808,0.565
-8.75832,40.4328,PT_RV_11E/01,11E/01,2008,0.8814,2.09152,2.938,2.1922
-7.85854,40.4885,PT_RV_10K/03,10K/03,2008,0.226,0.4972,0.8362,0.5198
-8.40003,41.6546,PT_RV_04G/10,04G/10,2008,0.7006,0.79665,0.9266,0.791
-8.43154,41.6094,PT_RV_04G/07,04G/07,2008,1.0622,1.13,1.2656,1.0961
-8.68162,41.6399,PT_RV_04E/07,04E/07,2008,1.0396,2.06483,2.5764,2.1018
-8.42164,41.8097,PT_RV_03G/06,03G/06,2008,0.226,0.388313,0.6328,0.226
-8.49921,42.0774,PT_RV_01G/03,01G/03,2008,0.9944,2.23552,3.3448,2.1583
-8.39444,42.0756,PT_RV_01G/02,01G/02,2008,0.226,0.623376,0.8588,0.6667
-7.69859,37.1636,PT_RV_31K/03,31K/03,2008,0.113,0.113,0.113,0.113
-7.2484,41.6293,PT_RV_04N/01,04N/01,2009,0.226,0.226,0.226,0.226
-8.39444,42.0756,PT_RV_01G/02,01G/02,2009,0.4972,0.68026,0.9492,0.6667
-8.49921,42.0774,PT_RV_01G/03,01G/03,2009,1.1978,2.01893,2.712,2.034
-6.95301,41.9514,PT_RV_02P/02,02P/02,2009,0.226,0.226,0.226,0.226
-8.42164,41.8097,PT_RV_03G/06,03G/06,2009,0.226,0.653517,0.9718,0.7119
-8.68162,41.6399,PT_RV_04E/07,04E/07,2009,1.8532,2.2374,2.7572,2.2035
-8.43154,41.6094,PT_RV_04G/07,04G/07,2009,1.1074,1.37107,1.6724,1.3334
-8.40003,41.6546,PT_RV_04G/10,04G/10,2009,0.678,0.828667,1.0848,0.791
-7.85854,40.4885,PT_RV_10K/03,10K/03,2009,0.226,0.523567,1.0848,0.4972
-8.54338,40.6273,PT_RV_10F/04,10F/04,2009,0.8588,1.28255,1.808,1.2543
-8.94454,39.5357,PT_RV_16D/03,16D/03,2009,0.5876,2.67433,3.842,2.938
-7.69702,40.8496,PT_RV_08K/01,08K/01,2009,0.226,0.2486,0.4972,0.226
-8.4587,40.7009,PT_RV_09G/01,09G/01,2009,1.3334,2.0001,2.938,1.9436
-8.09383,40.7398,PT_RV_09I/02,09I/02,2009,0.226,0.679883,1.4238,0.678
-8.45895,38.9943,PT_RV_20G/01,20G/01,2009,0.3842,0.3842,0.3842,0.3842
-8.55847,41.3451,PT_RV_05F/03,05F/03,2009,2.2148,2.98132,3.5256,3.2657
-8.27476,41.3699,PT_RV_05H/02,05H/02,2009,1.1752,2.07167,2.4182,2.2035
-8.18489,41.4615,PT_RV_05H/04,05H/04,2009,0.9944,1.2995,1.8758,1.2317
-8.39593,41.2599,PT_RV_06G/07,06G/07,2009,2.2148,3.91391,5.0624,3.8872
-8.50268,41.0939,PT_RV_07F/03,07F/03,2009,3.3222,4.2827,5.2432,4.2827
-7.77696,41.1532,PT_RV_07K/01,07K/01,2009,1.1074,3.0171,8.9722,1.7854
-7.82934,41.1515,PT_RV_07K/04,07K/04,2009,0.7458,1.356,2.2148,1.5142
-8.46539,40.8382,PT_RV_08G/02,08G/02,2009,2.938,3.164,3.842,3.164
-8.75832,40.4328,PT_RV_11E/01,11E/01,2009,1.2204,2.27507,3.39,2.2148
-8.03317,40.4675,PT_RV_11I/01,11I/01,2009,0.226,0.990633,2.486,0.9379
-7.81475,40.3415,PT_RV_11K/03,11K/03,2009,0.226,0.3616,0.7458,0.226
-8.64117,40.1789,PT_RV_12F/04,12F/04,2009,1.0848,1.3447,1.8306,1.3108
-8.27413,40.2703,PT_RV_12H/02,12H/02,2009,0.4972,0.838083,1.2656,0.8588
-9.03293,39.697,PT_RV_15D/02,15D/02,2009,0.19662,0.19662,0.19662,0.19662
-8.76993,39.6835,PT_RV_15E/06,15E/06,2009,2.486,3.08867,4.294,2.938
-8.3835,37.9412,PT_RV_26G/05,26G/05,2009,0.8588,1.68678,3.616,1.4238
-7.63305,37.8057,PT_RV_27L/01,27L/01,2009,0.226,0.433167,1.1526,0.226
-8.74907,37.4278,PT_RV_29E/01,29E/01,2009,0.113,0.143671,0.3842,0.113
-7.61838,37.3466,PT_RV_29L/01,29L/01,2009,0.113,0.113,0.113,0.113
-7.48615,37.3671,PT_RV_29M/01,29M/01,2009,0.113,0.113,0.113,0.113
-8.78316,37.3135,PT_RV_30E/04,30E/04,2009,0.113,0.267971,0.7232,0.113
-8.60448,37.2063,PT_RV_30F/02,30F/02,2009,0.113,0.444467,0.9718,0.2599
-8.17368,37.1235,PT_RV_31H/02,31H/02,2009,0.6328,1.0396,1.4238,1.0622
-7.69859,37.1636,PT_RV_31K/03,31K/03,2009,0.113,0.113,0.113,0.113
-8.74907,37.4278,PT_RV_29E/01,29E/01,2010,0.113,0.18645,0.5198,0.113
-7.61838,37.3466,PT_RV_29L/01,29L/01,2010,0.113,0.113,0.113,0.113
-7.48615,37.3671,PT_RV_29M/01,29M/01,2010,0.113,0.1356,0.2712,0.113
-8.3835,37.9412,PT_RV_26G/05,26G/05,2010,0.5424,2.00839,5.65,1.582
-7.63305,37.8057,PT_RV_27L/01,27L/01,2010,0.226,0.8588,1.469,0.9266
-8.60448,37.2063,PT_RV_30F/02,30F/02,2010,0.113,0.4972,1.1526,0.2938
-8.17368,37.1235,PT_RV_31H/02,31H/02,2010,0.3842,0.781583,1.3786,0.7571
-7.69859,37.1636,PT_RV_31K/03,31K/03,2010,0.113,0.161429,0.2938,0.113
-8.78316,37.3135,PT_RV_30E/04,30E/04,2010,0.113,0.30736,0.6554,0.2825
-7.12886,38.1723,PT_RV_24O/01,24O/01,2010,0.226,0.749567,2.26,0.226
-8.45895,38.9943,PT_RV_20G/01,20G/01,2010,0.226,0.494187,0.7684,0.48816
-8.61733,38.768,PT_RV_21F/01,21F/01,2010,0.226,1.00344,2.1696,0.61472
-7.07778,38.8316,PT_RV_21O/01,21O/01,2010,0.226,2.06649,3.39,2.26
-8.46539,40.8382,PT_RV_08G/02,08G/02,2010,1.7854,2.66115,3.164,2.712
-8.4587,40.7009,PT_RV_09G/01,09G/01,2010,0.8362,1.76845,2.712,1.8193
-8.09383,40.7398,PT_RV_09I/02,09I/02,2010,0.565,0.815655,1.2204,0.7684
-8.54338,40.6273,PT_RV_10F/04,10F/04,2010,0.8588,1.24488,1.8984,1.2656
-7.85854,40.4885,PT_RV_10K/03,10K/03,2010,0.226,0.510383,1.0848,0.5311
-8.75832,40.4328,PT_RV_11E/01,11E/01,2010,0.7232,1.71383,2.938,1.6272
-8.03317,40.4675,PT_RV_11I/01,11I/01,2010,0.226,1.19215,2.034,1.2091
-7.81475,40.3415,PT_RV_11K/03,11K/03,2010,0.226,0.448233,1.1526,0.226
-8.64117,40.1789,PT_RV_12F/04,12F/04,2010,0.5876,0.968033,1.2882,0.9492
-8.27413,40.2703,PT_RV_12H/02,12H/02,2010,0.226,0.74015,1.2882,0.7119
-9.03293,39.697,PT_RV_15D/02,15D/02,2010,0.09944,0.156317,0.3164,0.09944
-8.76993,39.6835,PT_RV_15E/06,15E/06,2010,2.1244,2.88458,4.068,2.712
-8.94454,39.5357,PT_RV_16D/03,16D/03,2010,1.4238,2.97567,4.52,2.938
-8.7558,39.0838,PT_RV_19E/02,19E/02,2010,0.7006,1.0961,1.4916,1.1074
