Muni_ID,ID,Muni,tot_input,irrig_tot_input,diff_tot_input,gnb,irrig_gnb,diff_gnb,nue,irrig_nue,diff_nue
615,1620615,Soure,236.773956242,354.024327842,117.2503716,173,291,118,26,17,-9
1004,1631004,Batalha,255.9,269.50559717,13.60559717,215,228,13,15,15,0
1009,1631009,Leiria,660.22157928,661.703891395,1.48231211500001,566,567,1,14,14,0
1010,1631010,Marinha Grande,157.1,161.300779221,4.20077922100001,91,95,4,41,40,-1
1015,1631015,Pombal,230.162422525,249.039382115,18.87695959,166,185,19,27,25,-2
1016,1631016,Porto de Mós,354.7,355.319289552,0.619289551999998,258,259,1,27,26,-1
1002,1641002,Alvaiázere,108.1,108.415157013,0.315157013000004,70,71,1,34,34,0
1003,1641003,Ansião,125.785401177,127.532066449,1.746665272,85,87,2,31,31,0
601,1640601,Arganil,103.1,125.26876791,22.16876791,62,85,23,38,32,-6
1007,1641007,Castanheira de Pêra,111.6,115.613222222,4.01322222200001,61,65,4,44,42,-2
1008,1641008,Figueiró dos Vinhos,104.1,109.635052356,5.53505235600001,71,76,5,31,30,-1
606,1640606,Góis,239.4,241.700588235,2.30058823499999,179,181,2,25,24,-1
607,1640607,Lousã,205.12321685,208.879533923,3.75631707299999,160,163,3,21,21,0
609,1640609,Miranda do Corvo,86.3,105.00486252,18.70486252,57,76,19,33,27,-6
611,1640611,Oliveira do Hospital,344.491070365,349.942970802,5.45190043700001,305,310,5,11,11,0
612,1640612,Pampilhosa da Serra,84.5,85.045158371,0.545158370999999,61,61,0,27,27,0
1013,1641013,Pedrógão Grande,96.4,97.830512295,1.430512295,65,66,1,32,31,-1
614,1640614,Penela,85.2,90.296215738,5.096215738,47,52,5,44,41,-3
616,1640616,Tábua,93,96.592117096,3.592117096,52,55,3,44,42,-2
617,1640617,Vila Nova de Poiares,118,119.475363985,1.475363985,77,79,2,34,33,-1
901,1650901,Aguiar da Beira,170.3,179.430176726,9.130176726,112,122,10,33,31,-2
1802,1651802,Carregal do Sal,116.3,118.322029808,2.022029808,83,85,2,28,27,-1
1803,1651803,Castro Daire,128.2,129.389847601,1.189847601,72,73,1,43,42,-1
1806,1651806,Mangualde,95.6,96.799379824,1.19937982399999,60,62,2,36,35,-1
1808,1651808,Mortágua,478.1,478.1,0,387,387,0,18,18,0
1809,1651809,Nelas,78.5,79.777999278,1.27799927800001,57,58,1,27,26,-1
1810,1651810,Oliveira de Frades,727.2,728.907891202,1.70789120200004,617,619,2,15,15,0
1811,1651811,Penalva do Castelo,83.8,84.568864341,0.768864341000011,53,54,1,36,35,-1
1814,1651814,Santa Comba Dão,295.852743376,299.078473895,3.22573051899997,251,254,3,15,14,-1
1816,1651816,São Pedro do Sul,231.668787828,235.428304468,3.75951663999999,164,168,4,29,28,-1
1817,1651817,Sátão,179.9,180.757787034,0.857787034000012,125,126,1,30,30,0
1821,1651821,Tondela,255.832774323,266.336398753,10.50362443,204,215,11,20,19,-1
1822,1651822,Vila Nova de Paiva,250,257.07840824,7.07840823999999,184,191,7,26,25,-1
1823,1651823,Viseu,110.829039103,111.809057981,0.980018877999996,70,71,1,36,36,0
1824,1651824,Vouzela,367.8,374.313310208,6.51331020799995,288,294,6,21,21,0
1413,1661413,Mação,69.2,69.2,0,40,40,0,40,40,0
506,1660506,Oleiros,108.9,112.89977368,3.99977368,89,93,4,18,17,-1
508,1660508,Proença-a-Nova,61.6,61.6,0,40,40,0,34,34,0
509,1660509,Sertã,103.5,103.960592773,0.460592773000002,70,71,1,31,31,0
510,1660510,Vila de Rei,98.8,99.518617647,0.718617646999988,76,77,1,22,22,0
905,1670905,Fornos de Algodres,81,82.135947759,1.135947759,52,53,1,35,34,-1
906,1670906,Gouveia,42.1,47.742087846,5.642087846,22,28,6,46,40,-6
912,1670912,Seia,58.1,63.507995951,5.407995951,29,34,5,49,45,-4
902,1680902,Almeida,38.707552904,39.065281255,0.357728350999999,9,10,1,74,74,0
903,1680903,Celorico da Beira,43.3,43.3,0,18,18,0,56,56,0
904,1680904,Figueira de Castelo Rodrigo,37.80025074,38.14894621,0.348695469999996,19,20,1,47,46,-1
907,1680907,Guarda,41.551851951,43.132957001,1.58110505,12,14,2,68,66,-2
908,1680908,Manteigas,66.7,69.277986111,2.577986111,23,26,3,64,62,-2
909,1680909,Mêda,46.8,46.947922836,0.147922835999999,32,32,0,30,30,0
910,1680910,Pinhel,39.812377286,39.997664709,0.185287422999998,15,15,0,61,61,0
911,1680911,Sabugal,40.807780379,41.09630251,0.288522131000001,9,9,0,77,76,-1
913,1680913,Trancoso,59.4,59.4,0,32,32,0,45,45,0
502,1690502,Castelo Branco,35.5,35.5,0,16,16,0,53,53,0
505,1690505,Idanha-a-Nova,40.8,40.8,0,15,15,0,62,62,0
507,1690507,Penamacor,50.5,50.85741706,0.357417060000003,23,24,1,52,52,0
511,1690511,Vila Velha de Ródão,50.9,51.185585474,0.285585474000001,28,28,0,43,43,0
501,16A0501,Belmonte,56.103736455,57.688377507,1.584641052,27,28,1,51,50,-1
503,16A0503,Covilhã,61.700818893,61.700818893,0,27,27,0,55,55,0
504,16A0504,Fundão,55.609348321,56.339867081,0.730518760000003,30,31,1,45,44,-1
1001,16B1001,Alcobaça,227.537023182,234.399051297,6.86202811499999,167,173,6,26,25,-1
1101,16B1101,Alenquer,88.501619997,88.713880628,0.212260631000007,64,64,0,27,26,-1
1102,16B1102,Arruda dos Vinhos,87.037023182,87.068258977,0.0312357950000006,56,56,0,35,35,0
1005,16B1005,Bombarral,162.737023182,163.802127005,1.06510382300002,140,141,1,13,13,0
1104,16B1104,Cadaval,101.137023182,101.137023182,0,76,76,0,24,24,0
