Muni_ID,Muni,Full_ID,nuts3_name,nuts3_ID,nuts2_ID
1213,PONTE DE SOR,1821213,ALTO ALENTEJO,186,18
1015,POMBAL,1631015,REGIÃO DE LEIRIA,16F,16
613,PENACOVA,1620613,REGIÃO DE COIMBRA,16E,16
607,LOUSÃ,1640607,REGIÃO DE COIMBRA,16E,16
1104,CADAVAL,16B1104,OESTE,16B,16
1113,TORRES VEDRAS,16B1113,OESTE,16B,16
1712,VALPAÇOS,1181712,ALTO TÂMEGA,11B,11
1815,SÃO JOÃO DA PESQUEIRA,1171815,DOURO,11D,11
1403,ALMEIRIM,1851403,LEZÍRIA DO TEJO,185,18
1824,VOUZELA,1651824,VISEU DÃO LAFÕES,16G,16
1410,ENTRONCAMENTO,16C1410,MÉDIO TEJO,16I,16
606,GÓIS,1640606,REGIÃO DE COIMBRA,16E,16
511,VILA VELHA DE RÓDÃO,1690511,BEIRA BAIXA,16H,16
1102,ARRUDA DOS VINHOS,16B1102,OESTE,16B,16
1802,CARREGAL DO SAL,1651802,VISEU DÃO LAFÕES,16G,16
1408,CONSTÂNCIA,16C1408,MÉDIO TEJO,16I,16
510,VILA DE REI,1660510,MÉDIO TEJO,16I,16
809,MONCHIQUE,1500809,ALGARVE,150,15
1418,TOMAR,16C1418,MÉDIO TEJO,16I,16
806,LAGOA,1500806,ALGARVE,150,15
1103,AZAMBUJA,1851103,LEZÍRIA DO TEJO,185,18
1819,TABUAÇO,1171819,DOURO,11D,11
1801,ARMAMAR,1171801,DOURO,11D,11
1417,SARDOAL,16C1417,MÉDIO TEJO,16I,16
816,VILA REAL DE SANTO ANTÓNIO,1500816,ALGARVE,150,15
1708,PESO DA RÉGUA,1171708,DOURO,11D,11
1012,ÓBIDOS,16B1012,OESTE,16B,16
1420,VILA NOVA DA BARQUINHA,16C1420,MÉDIO TEJO,16I,16
111,MEALHADA,1610111,REGIÃO DE COIMBRA,16E,16
1510,SEIXAL,1721510,ÁREA METROPOLITANA DE LISBOA,170,17
1014,PENICHE,16B1014,OESTE,16B,16
1821,TONDELA,1651821,VISEU DÃO LAFÕES,16G,16
804,CASTRO MARIM,1500804,ALGARVE,150,15
802,ALCOUTIM,1500802,ALGARVE,150,15
1004,BATALHA,1631004,REGIÃO DE LEIRIA,16F,16
1421,OURÉM,16C1421,MÉDIO TEJO,16I,16
811,PORTIMÃO,1500811,ALGARVE,150,15
1005,BOMBARRAL,16B1005,OESTE,16B,16
1810,OLIVEIRA DE FRADES,1651810,VISEU DÃO LAFÕES,16G,16
1108,LOURINHÃ,16B1108,OESTE,16B,16
1010,MARINHA GRANDE,1631010,REGIÃO DE LEIRIA,16F,16
1711,SANTA MARTA DE PENAGUIÃO,1171711,DOURO,11D,11
1808,MORTÁGUA,1651808,REGIÃO DE COIMBRA,16E,16
1009,LEIRIA,1631009,REGIÃO DE LEIRIA,16F,16
812,SÃO BRÁS DE ALPORTEL,1500812,ALGARVE,150,15
813,SILVES,1500813,ALGARVE,150,15
1001,ALCOBAÇA,16B1001,OESTE,16B,16
814,TAVIRA,1500814,ALGARVE,150,15
1006,CALDAS DA RAINHA,16B1006,OESTE,16B,16
810,OLHÃO,1500810,ALGARVE,150,15
808,LOULÉ,1500808,ALGARVE,150,15
1414,RIO MAIOR,1851414,LEZÍRIA DO TEJO,185,18
1101,ALENQUER,16B1101,OESTE,16B,16
801,ALBUFEIRA,1500801,ALGARVE,150,15
1209,GAVIÃO,1821209,ALTO ALENTEJO,186,18
805,FARO,1500805,ALGARVE,150,15
1814,SANTA COMBA DÃO,1651814,VISEU DÃO LAFÕES,16G,16
1105,CASCAIS,1711105,ÁREA METROPOLITANA DE LISBOA,170,17
1110,OEIRAS,1711110,ÁREA METROPOLITANA DE LISBOA,170,17
1411,FERREIRA DO ZÊZERE,16C1411,MÉDIO TEJO,16I,16
1106,LISBOA,1711106,ÁREA METROPOLITANA DE LISBOA,170,17
1312,PORTO,1141312,ÁREA METROPOLITANA DO PORTO,11A,11
116,SÃO JOÃO DA MADEIRA,1160116,ÁREA METROPOLITANA DO PORTO,11A,11
