"Muni_ID","ID","Muni","total_cereals","total_citrus","total_dried_fruits","total_fresh_fruits","total_horticulture","total_industry","total_olive_grove","total_potato","total_pulses","total_vineyard","total_municipality"
711,"1830711","Reguengos de Monsaraz",98182.11,484.6,115.48,101.47,107.04,24.85,6686.44,14.62,390.22,12119.19,118226.02
1215,"1831215","Sousel",59198.93,19.97,3495.45,62.62,1619.76,2888.24,14732.93,0,1921.86,1018.85,84958.61
712,"1830712","Vendas Novas",23987.83,350.24,26999.81,59.93,463.81,0,304.29,87.75,38,1587.35,53879.01
713,"1830713","Viana do Alentejo",186484.43,249.57,2349.25,8.33,42.81,0,3254.58,14.62,456.02,29.53,192889.14
714,"1830714","Vila Viçosa",28570.29,289.51,1149.72,35.53,64.22,0,3786.43,14.62,0,1244.04,35154.36
201,"1840201","Aljustrel",351619.38,1071.98,5341.46,0,1362.88,46465.57,8329.61,0,6963.24,295.32,421449.44
202,"1840202","Almodôvar",98929.56,547.19,815.59,94.41,0,0,1450.01,0,3629.32,84.9,105550.98
203,"1840203","Alvito",44750.07,708.79,847.57,17.65,128.44,576.89,4016.63,14.62,392.68,749.37,52202.71
204,"1840204","Barrancos",0,0,14.02,2.22,0,0,1749.01,0,0,3.69,1768.94
205,"1840205","Beja",774482.79,964.23,3331.11,41.32,1291.52,91842.48,26706.08,14.62,15877.14,3396.18,917947.47
206,"1840206","Castro Verde",268215.95,69.88,3308.8,134.26,35.68,2291.33,3045.55,0,1893.47,11.07,279005.99
207,"1840207","Cuba",65882.41,99.83,0,24.43,171.26,10182.26,3093.17,0,126.67,2975.35,82555.38
208,"1840208","Ferreira do Alentejo",338267.18,2003.76,31316.73,1064.92,5694.13,48549.32,26063.1,0,9069.06,1262.49,463290.69
209,"1840209","Mértola",233192.52,302.2,15342.6,11.54,7.14,209.36,2556.04,0,11172.47,239.95,263033.82
210,"1840210","Moura",190705.84,389.34,3708.54,1063.61,1612.63,9099.99,51078.38,14.62,1513.9,2971.66,262158.51
212,"1840212","Ourique",211238.73,9.98,236.02,31.09,321.1,2144.52,1357.4,0,4218.18,77.52,219634.54
213,"1840213","Serpa",298617.69,296.4,10700.28,182.12,1555.54,29890.6,61358.09,14.62,15229.17,1642.72,419487.23
214,"1840214","Vidigueira",86079.51,1128.91,66.18,19.99,428.13,8585.61,14415.41,0,291.35,6792.36,117807.45
1403,"1851403","Almeirim",281755.04,1407.92,5432.45,1068.87,15605.34,0,230.17,8931.79,30.19,17492.19,331953.96
1404,"1851404","Alpiarça",258031.42,548.52,336.9,264.05,8605.42,126,251.88,2852.66,588.59,7072.31,278677.75
1103,"1851103","Azambuja",182213.02,475.58,7326.2,475.55,14021.25,2289.01,1011.87,354.12,155.88,5987.89,214310.37
1405,"1851405","Benavente",533243.93,381.69,44007.04,93.66,15498.31,2447.55,238.85,5744.68,0,1199.67,602855.38
1406,"1851406","Cartaxo",185519.8,288.33,3165.36,190.26,17831.62,3144.96,933.7,747.59,84.82,5673.57,217580.01
1407,"1851407","Chamusca",763486.27,1478.18,44765.06,124.8,5993.82,945.48,2258.26,2459.19,0,1435.42,822946.48
1409,"1851409","Coruche",1157973.23,2072.9,237048.45,1030.63,12858.17,1434.66,2084.54,4879.04,294.29,2420.3,1422096.21
1412,"1851412","Golegã",1015801.07,219.41,1558.14,0,3417.9,0,1085.7,5292.18,0,204.31,1027578.71
1414,"1851414","Rio Maior",104535.22,82.28,35419.89,829.81,3039.73,0,4572.97,98.37,132.56,2755.58,151466.41
1415,"1851415","Salvaterra de Magos",410192.34,301.69,4248.28,58.52,11873.47,525,108.57,4761,2566.06,874.87,435509.8
1416,"1851416","Santarém",668335.93,507.94,9427.98,741.52,9390.32,4837.47,24984.13,3285.48,2007.28,10257.47,733775.52
801,"1500801","Albufeira",1676.39,6971.37,4722.81,2409.31,235.47,0,684.89,0,31.72,468.9,17200.86
802,"1500802","Alcoutim",524.2,609.03,5144.85,1830.42,14.27,0,1860.52,0,126.89,63.18,10173.36
803,"1500803","Aljezur",26622.81,192.25,104.43,42.72,699.28,0,7.19,614.42,311.42,325.9,28920.42
804,"1500804","Castro Marim",597.83,1371.91,6208.36,2317.9,206.93,0,1367.97,30.72,15.86,246.09,12363.57
805,"1500805","Faro",1171.96,17614.32,4040.82,682.46,2283.36,0,853.86,184.33,15.86,99.77,26946.74
806,"1500806","Lagoa",11763.45,4222.14,854.16,558.52,335.37,0,124.03,30.72,0,701.68,18590.07
807,"1500807","Lagos",5339.88,563.03,690.21,709.17,313.97,0,70.11,138.24,63.74,345.85,8234.2
808,"1500808","Loulé",1768.36,16800.86,18620,3794.99,413.86,0,3810.91,15.36,0,182.9,45407.24
809,"1500809","Monchique",7758.93,2821.62,233.85,239.17,385.32,0,116.84,752.67,30.71,3.33,12342.44
810,"1500810","Olhão",0,13206.81,3120.93,1416.3,428.13,0,641.74,76.8,0,126.37,19017.08
811,"1500811","Portimão",2074.78,3629.02,1703.29,703.91,592.25,0,204.93,107.52,15.86,312.6,9344.16
812,"1500812","São Brás de Alportel",1054.5,1441.67,2178.31,501.67,35.68,0,995.87,61.44,0,73.16,6342.3
813,"1500813","Silves",18461.5,70878.74,4697.68,1249.34,620.79,0,1335.62,230.41,174.86,921.16,98570.1
814,"1500814","Tavira",2941.64,26649.65,11186.4,3708.17,442.4,0,2870.77,153.61,206.2,688.38,48847.22
815,"1500815","Vila do Bispo",10272.32,13.73,685.93,103.59,199.79,0,1.8,15.36,47.88,23.28,11363.68
816,"1500816","Vila Real de Santo António",631.42,1148.8,468.97,333.06,121.31,0,152.8,92.16,79.61,63.18,3091.31
