"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","intensive_pasture","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","olive_grove","potato","bean","chickpea","other_pulses","vineyard","total"
608,"1620608","Mira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",0.78,6.11,4.13,0.48,0.65,0.28,0,0.91,0.86,0,0.01,0.01,0.5,0,0.02,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0.01,0.84,0.18,0.1,0,0.08,0.71,16.69
613,"1620613","Penacova",78.77,13.94,94.26,10.06,3.29,17.42,0,69.68,58.06,0,4.84,0,22.26,0,0.97,0,0,0,0.97,0,0,0,2.9,0.97,0,0.97,0.97,157.74,37.74,6.77,0.97,7.74,96.77,688.06
615,"1620615","Soure",82.87,173.16,321.49,26.44,53.85,24.18,3.22,299.89,124.15,0,3.22,0,154.78,0,8.06,0,0,0,0,0,9.67,0,17.74,1.61,3.22,3.22,8.06,1496.22,9.67,14.51,1.61,30.63,365.99,3237.46
1004,"1631004","Batalha",1.47,1.04,13.75,1.19,0.62,0.14,1.13,6.78,0.99,0,0,0,0.85,0,0.14,0,0,0,0,0,0.14,0.14,0.42,0,0.28,0.28,0.71,22.59,2.26,0.42,0.14,0.99,27.68,84.15
1009,"1631009","Leiria",1213.14,975.85,3890.05,901.7,879.45,281.78,7.42,867.59,630.3,0,51.91,0,986.23,0,37.08,0,0,0,22.25,0,14.83,103.81,81.57,7.42,22.25,44.49,88.98,2491.53,148.31,59.32,7.42,192.8,3470.34,17477.82
1010,"1631010","Marinha Grande",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,"1631015","Pombal",920.47,401.41,1358.79,320.66,262.99,161.49,28.84,1015.05,1066.96,0,11.53,17.3,1378.39,0,34.6,0,0,0,0,0,17.3,5.77,28.84,0,5.77,11.53,5.77,3956.4,201.86,138.42,57.67,409.48,2208.89,14026.18
1016,"1631016","Porto de Mós",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,"1641002","Alvaiázere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,"1641003","Ansião",16.7,7.98,19.35,0.58,0.85,28.81,1.59,18.24,12.95,0,0,0,12.69,0,0.53,0,0,0,0,0,0.79,0,0.53,0.26,0,0,0,407.02,0,1.32,0.79,10.57,55.24,596.79
601,"1640601","Arganil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
